kappa,angle_rad,a_parameter,field_size,unit_length,T_parameter,gstools_model_anis_ratio,gstools_model_rescale_factor,gstools_model_len_scale,level_val,total_points_generated,sigma_emp_xx,sigma_emp_xy,sigma_emp_yy,estimated_angle_cabana,estimated_kappa_cabana,empirical_cosine_cabana,empirical_sine_cabana,euler_characteristic,perimeter,volume_sublevel_set,perimeter_cabana,estimated_kappa_BD,statistics_BD,mean_statistics_BD,euler_characteristic_scikit_1,euler_characteristic_scikit_2,estimated_kappa_BD_scikit_1,estimated_kappa_BD_scikit_2
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.49972587817902403,-0.0015268377443941918,0.5002734650068703,0.8671041923420477,0.09107517088949783,-9.711320445785498,-58.898493823673995,-10.580080583923278,19112.313951794986,20158.600000000002,19111.352584020682,0.9784918719337061,0.1860076286475132,0.4052847345693511,58,33,,
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.4906604420180316,0.018207333069898086,0.5093394900199929,2.1195184140585903,0.3214757294340178,-376.31346177984983,734.7142779595706,-70.47964883067188,20191.16446686116,20225.160000000003,20189.94399226654,,0.7819738306586511,0.4052847345693511,-2,-26,0.9997526249179849,0.9285623575389121
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5171758626555354,-0.024339741158182642,0.48282416210769985,2.0488320323104574,0.38365171034503376,695.6316991563053,-985.3486404771337,13.441547579697833,20225.409425682756,19987.120000000003,20224.163275982304,,2.598595511396539,0.4052847345693511,95,74,,
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.49199469025080883,0.0018372439417330406,0.5080041478315669,1.682918350985065,0.20680864368945936,-300.02244781358837,68.42910679758829,26.19851956426708,18775.81561972959,19980.440000000002,18774.859897698694,,3.8699909312290544,0.4052847345693511,95,78,,
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5009694245308226,-0.009483655520581233,0.4990306576943343,2.304350393363628,0.22287155053688995,37.52126771865482,-360.56857762898886,18.241654568405508,18977.624533262126,19817.240000000005,18976.66252233571,0.9333989033310583,0.2822679087149602,0.4052847345693511,96,71,,
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.47350311808498463,0.0014825839189530575,0.526496631073353,1.5984940893025674,0.36332609782553643,-992.0950564267678,55.013911104479945,32.917704533339744,18733.65277653346,19865.360000000004,18732.755232695035,,0.7095614310796519,0.4052847345693511,106,90,,
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5044991017177587,-0.01732240318234206,0.495498784314712,2.2287005295831643,0.30194581931582476,177.65455471170105,-681.5517484616507,-4.082633764236212,19655.68762208236,19991.120000000003,19654.678594217552,,1.2121349961358951,0.4052847345693511,69,45,,
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.498682032491001,0.02803124326303477,0.5013178638024367,2.3331069096070713,0.3729215471190697,-50.43229762391837,1091.4190281426,-29.118152789390727,19477.493368295163,20138.080000000005,19476.403976779606,,0.5661680260191885,0.4052847345693511,38,7,,0.9895381635407254
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.503902034610065,-0.0006490976048119767,0.4960974944087552,1.6546245271334243,0.14490721323957487,156.61004844358936,-26.505488320302046,15.7036850652179,19960.62111220767,20086.080000000005,19959.490609672444,,0.4663831993715858,0.4052847345693511,87,59,,
0,1,1.0,1000,5,200.0,1.0,0.2,[1.41421356 1.41421356],0,10000000,0.5112891278505589,-0.0008803385684653591,0.48871073923362496,1.6102692420413294,0.24232463313878155,431.8440716224052,-34.16329198755663,-30.201760407710566,19092.91393429918,20134.320000000003,19091.987265400192,,0.6282416672535116,0.4052847345693511,49,22,,
